#x_m,y_m,w_tr_right_m,w_tr_left_m
0.35000000000000053,-8.6,0.682344135219425,0.6340770846134703
0.35000000000000053,-8.75,0.65524865872714,0.6848857801796104
0.40000000000000036,-8.8,0.7012492197250394,0.6617692030835672
0.40000000000000036,-9.0,0.7000000000000001,0.751189802081432
0.4500000000000002,-9.05,0.75,0.7295630140987002
0.4500000000000002,-9.15,0.75,0.7816653826391969
0.5,-9.2,0.8,0.7700467279516348
0.5,-9.3,0.7920164833920778,0.8335784048754635
0.5500000000000007,-9.35,0.8280514172678478,0.8313708498984762
0.5500000000000007,-9.4,0.818033988749895,0.8667261889578035
0.6500000000000004,-9.5,0.9041594578792296,0.8667261889578035
0.6500000000000004,-9.6,0.9,0.9374368670764582
0.7000000000000002,-9.65,0.9500000000000001,0.9379418403139947
0.7000000000000002,-9.7,0.9500000000000001,0.9747548783981963
